Date,Close/Last,
09/10/2020,$176.40,94
09/11/2020,$181.03,95
09/14/2020,$181.63,96
09/15/2020,$178.78,97
09/16/2020,$182.18,98
09/17/2020,$185.44,99
09/18/2020,$185.21,100
09/21/2020,$177.58,101
09/22/2020,$180.75,102
09/23/2020,$178.13,103
09/24/2020,$175.74,104
09/25/2020,$178.02,105
09/28/2020,$178.63,106
09/29/2020,$175.75,107
09/30/2020,$169.84,108
10/01/2020,$172.69,109
10/02/2020,$173.07,110
10/05/2020,$174.40,111
10/06/2020,$173.96,112
10/07/2020,$175.40,113
10/08/2020,$178.14,114
10/09/2020,$175.45,115
10/12/2020,$175.04,116
10/13/2020,$174.41,117
10/14/2020,$176.35,118
10/15/2020,$173.47,119
10/16/2020,$174.37,120
10/19/2020,$171.43,121
10/20/2020,$171.21,122
10/21/2020,$169.81,123
10/22/2020,$169.60,124
10/23/2020,$171.80,125
10/26/2020,$169.83,126
10/27/2020,$166.26,127
10/28/2020,$161.32,128
10/29/2020,$162.95,129
10/30/2020,$161.11,130
11/02/2020,$170.40,131
11/03/2020,$178.81,132
11/04/2020,$183.30,133
11/05/2020,$181.04,134
11/06/2020,$178.94,135
11/09/2020,$185.85,136
11/10/2020,$189.53,137
11/11/2020,$187.71,138
11/12/2020,$189.30,139
11/13/2020,$194.30,140
11/16/2020,$200.00,141
11/17/2020,$198.43,142
11/18/2020,$196.35,143
11/19/2020,$195.76,144
11/20/2020,$191.50,145
11/23/2020,$194.10,146
11/24/2020,$195.83,147
11/25/2020,$194.98,148
11/27/2020,$194.47,149
11/30/2020,$191.99,150
12/01/2020,$191.84,151
12/02/2020,$191.54,152
12/03/2020,$192.70,153
12/04/2020,$195.04,154
12/07/2020,$191.63,155
12/08/2020,$189.25,156
12/09/2020,$188.30,157
12/10/2020,$187.50,158
12/11/2020,$189.18,159
12/14/2020,$189.95,160
12/15/2020,$188.32,161
12/16/2020,$186.13,162
12/17/2020,$185.71,163
12/18/2020,$187.21,164
12/21/2020,$185.04,165
12/22/2020,$184.11,166
12/23/2020,$185.85,167
12/24/2020,$185.16,168
12/28/2020,$187.32,169
12/29/2020,$186.29,170
12/30/2020,$187.65,171
12/31/2020,$189.02,172
01/04/2021,$180.44,173
01/05/2021,$182.35,174
01/06/2021,$182.77,175
01/07/2021,$181.25,176
01/08/2021,$180.70,177
01/11/2021,$183.49,178
01/12/2021,$184.98,179
01/13/2021,$186.73,180
01/14/2021,$190.77,181
01/15/2021,$188.58,182
01/19/2021,$190.10,183
01/20/2021,$188.38,184
01/21/2021,$183.13,185
01/22/2021,$183.80,186
01/25/2021,$185.23,187
01/26/2021,$179.92,188
01/27/2021,$179.14,189
01/28/2021,$176.66,190
