Date,Close/Last,
07/07/2021,$371.26,300
07/08/2021,$369.94,301
07/09/2021,$371.82,302
07/12/2021,$370.33,303
07/13/2021,$367.39,304
07/14/2021,$363.94,305
07/15/2021,$364.12,306
07/16/2021,$362.81,307
07/19/2021,$355.00,308
07/20/2021,$359.97,309
07/21/2021,$361.46,310
07/22/2021,$359.26,311
07/23/2021,$361.31,312
07/26/2021,$358.26,313
07/27/2021,$362.20,314
07/28/2021,$360.11,315
07/29/2021,$365.66,316
07/30/2021,$363.02,317
08/02/2021,$361.84,318
08/03/2021,$364.44,319
08/04/2021,$357.25,320
08/05/2021,$358.72,321
08/06/2021,$362.11,322
08/09/2021,$360.99,323
08/10/2021,$362.68,324
08/11/2021,$366.10,325
08/12/2021,$363.86,326
08/13/2021,$363.11,327
08/16/2021,$368.62,328
08/17/2021,$368.63,329
08/18/2021,$363.16,330
08/19/2021,$361.09,331
08/20/2021,$363.00,332
08/23/2021,$362.92,333
08/24/2021,$362.77,334
08/25/2021,$362.66,335
08/26/2021,$366.76,336
08/27/2021,$364.84,337
08/30/2021,$367.62,338
08/31/2021,$367.70,339
09/01/2021,$364.98,340
09/02/2021,$368.30,341
09/03/2021,$365.93,342
09/07/2021,$358.88,343
09/08/2021,$360.40,344
09/09/2021,$356.78,345
09/10/2021,$354.10,346
09/13/2021,$353.70,347
09/14/2021,$351.73,348
09/15/2021,$355.74,349
09/16/2021,$349.66,350
09/17/2021,$350.24,351
09/20/2021,$348.81,352
09/21/2021,$345.14,353
09/22/2021,$348.52,354
09/23/2021,$350.91,355
09/24/2021,$355.70,356
09/27/2021,$357.21,357
09/28/2021,$358.30,358
09/29/2021,$362.98,359
09/30/2021,$360.15,360
10/01/2021,$360.92,361
10/04/2021,$365.67,362
10/05/2021,$369.88,363
10/06/2021,$377.32,364
10/07/2021,$382.70,365
10/08/2021,$389.72,366
10/11/2021,$393.16,367
10/12/2021,$390.07,368
10/13/2021,$388.70,369
10/14/2021,$389.94,370
10/15/2021,$395.36,371
10/18/2021,$393.89,372
10/19/2021,$399.30,373
10/20/2021,$400.88,374
10/21/2021,$402.77,375
10/22/2021,$406.21,376
10/25/2021,$406.62,377
10/26/2021,$396.57,378
10/27/2021,$388.15,379
10/28/2021,$358.64,380
10/29/2021,$357.22,381
11/01/2021,$354.85,382
11/02/2021,$353.20,383
11/03/2021,$354.11,384
11/04/2021,$356.66,385
11/05/2021,$364.37,386
11/08/2021,$363.27,387
11/09/2021,$364.52,388
11/10/2021,$362.10,389
11/11/2021,$359.94,390
11/12/2021,$359.65,391
11/15/2021,$360.00,392
11/16/2021,$354.60,393
11/17/2021,$353.96,394
11/18/2021,$351.42,395
11/19/2021,$353.13,396
11/22/2021,$363.15,397
11/23/2021,$364.21,398
11/24/2021,$361.37,399
11/26/2021,$353.98,400
11/29/2021,$356.39,401
11/30/2021,$348.80,402
12/01/2021,$345.98,403
12/02/2021,$352.57,404
12/03/2021,$357.84,405
12/06/2021,$363.96,406
12/07/2021,$362.67,407
12/08/2021,$364.09,408
12/09/2021,$367.86,409
12/10/2021,$371.06,410
12/13/2021,$377.33,411
12/14/2021,$376.22,412
12/15/2021,$378.82,413
12/16/2021,$378.72,414
12/17/2021,$377.46,415
12/20/2021,$369.95,416
12/21/2021,$378.49,417
12/22/2021,$379.81,418
12/23/2021,$381.17,419
12/27/2021,$384.21,420
12/28/2021,$385.33,421
12/29/2021,$384.99,422
12/30/2021,$384.53,423
12/31/2021,$387.07,424
01/03/2022,$385.53,425
01/04/2022,$396.99,426
01/05/2022,$394.99,427
01/06/2022,$397.27,428
01/07/2022,$400.42,429
01/10/2022,$402.23,430
01/11/2022,$400.60,431
01/12/2022,$395.53,432
01/13/2022,$397.61,433
01/14/2022,$403.45,434
01/18/2022,$401.63,435
01/19/2022,$401.65,436
01/20/2022,$397.41,437
01/21/2022,$398.81,438
01/24/2022,$403.06,439
01/25/2022,$403.18,440
01/26/2022,$403.23,441
01/27/2022,$373.99,442
01/28/2022,$380.20,443
01/31/2022,$369.90,444
02/01/2022,$370.58,445
02/02/2022,$370.98,446
02/03/2022,$373.81,447
02/04/2022,$369.75,448
02/07/2022,$373.16,449
02/08/2022,$379.32,450
02/09/2022,$384.36,451
02/10/2022,$382.02,452
02/11/2022,$399.32,453
02/14/2022,$390.60,454
02/15/2022,$384.77,455
02/16/2022,$393.66,456
02/17/2022,$398.11,457
02/18/2022,$391.25,458
02/22/2022,$390.73,459
02/23/2022,$386.08,460
02/24/2022,$395.49,461
02/25/2022,$409.67,462
02/28/2022,$442.14,463
03/01/2022,$456.10,464
03/02/2022,$453.39,465
03/03/2022,$449.69,466
03/04/2022,$468.57,467
03/07/2022,$477.95,468
03/08/2022,$449.21,469
03/09/2022,$449.92,470
03/10/2022,$444.61,471
03/11/2022,$436.30,472
03/14/2022,$441.42,473
03/15/2022,$447.82,474
03/16/2022,$424.43,475
03/17/2022,$428.80,476
03/18/2022,$427.95,477
03/21/2022,$446.60,478
03/22/2022,$446.30,479
03/23/2022,$446.92,480
03/24/2022,$454.57,481
03/25/2022,$458.18,482
03/28/2022,$446.80,483
03/29/2022,$446.31,484
03/30/2022,$453.33,485
03/31/2022,$447.22,486
04/01/2022,$454.79,487
04/04/2022,$452.29,488
04/05/2022,$454.01,489
04/06/2022,$461.46,490
04/07/2022,$470.77,491
04/08/2022,$463.66,492
04/11/2022,$462.14,493
04/12/2022,$463.28,494
04/13/2022,$464.52,495
04/14/2022,$467.20,496
04/18/2022,$465.58,497
04/19/2022,$464.41,498
04/20/2022,$463.40,499
04/21/2022,$443.45,500
04/22/2022,$447.40,501
04/25/2022,$444.02,502
04/26/2022,$442.51,503
04/27/2022,$439.77,504
04/28/2022,$445.17,505
04/29/2022,$439.40,506
05/02/2022,$438.62,507
05/03/2022,$451.25,508
05/04/2022,$462.57,509
05/05/2022,$466.66,510
05/06/2022,$468.70,511
05/09/2022,$453.98,512
05/10/2022,$449.97,513
05/11/2022,$446.48,514
05/12/2022,$450.78,515
05/13/2022,$452.83,516
05/16/2022,$458.08,517
05/17/2022,$459.28,518
05/18/2022,$454.87,519
05/19/2022,$448.50,520
05/20/2022,$443.33,521
05/23/2022,$456.77,522
05/24/2022,$471.10,523
05/25/2022,$467.62,524
05/26/2022,$467.43,525
05/27/2022,$470.76,526
05/31/2022,$467.97,527
06/01/2022,$464.25,528
06/02/2022,$462.87,529
06/03/2022,$478.37,530
06/06/2022,$478.86,531
06/07/2022,$492.06,532
06/08/2022,$472.45,533
06/09/2022,$462.92,534
06/10/2022,$463.82,535
06/13/2022,$460.68,536
06/14/2022,$454.46,537
06/15/2022,$458.45,538
06/16/2022,$449.02,539
06/17/2022,$443.93,540
06/21/2022,$463.77,541
06/22/2022,$458.61,542
06/23/2022,$456.24,543
06/24/2022,$463.70,544
06/27/2022,$466.82,545
06/28/2022,$464.67,546
06/29/2022,$461.81,547
06/30/2022,$478.57,548
07/01/2022,$486.37,549
07/05/2022,$464.36,550
07/06/2022,$481.87,551
07/07/2022,$479.38,552
07/08/2022,$480.43,553
07/11/2022,$475.51,554
07/12/2022,$468.88,555
07/13/2022,$465.20,556
07/14/2022,$458.99,557
07/15/2022,$461.20,558
07/18/2022,$449.26,559
07/19/2022,$457.39,560
07/20/2022,$456.07,561
07/21/2022,$453.80,562
07/22/2022,$451.85,563
07/25/2022,$453.32,564
07/26/2022,$444.65,565
07/27/2022,$445.81,566
07/28/2022,$454.46,567
07/29/2022,$478.90,568
08/01/2022,$475.63,569
08/02/2022,$481.05,570
08/03/2022,$481.75,571
08/04/2022,$478.04,572
08/05/2022,$477.59,573
08/08/2022,$470.05,574
08/09/2022,$473.73,575
08/10/2022,$473.14,576
08/11/2022,$470.31,577
08/12/2022,$479.58,578
08/15/2022,$486.87,579
08/16/2022,$485.50,580
08/17/2022,$492.51,581
08/18/2022,$492.88,582
08/19/2022,$490.75,583
08/22/2022,$484.19,584
08/23/2022,$482.88,585
08/24/2022,$488.89,586
08/25/2022,$494.48,587
08/26/2022,$485.13,588
08/29/2022,$485.81,589
08/30/2022,$480.93,590
08/31/2022,$477.99,591
09/01/2022,$480.32,592
09/02/2022,$476.95,593
09/06/2022,$479.74,594
09/07/2022,$487.78,595
09/08/2022,$489.73,596
09/09/2022,$491.41,597
09/12/2022,$482.30,598
09/13/2022,$468.93,599
09/14/2022,$484.88,600
09/15/2022,$485.08,601
09/16/2022,$485.20,602
09/19/2022,$488.07,603
09/20/2022,$494.00,604
09/21/2022,$492.87,605
09/22/2022,$496.46,606
09/23/2022,$478.82,607
09/26/2022,$474.37,608
09/27/2022,$474.14,609
09/28/2022,$483.69,610
09/29/2022,$470.48,611
09/30/2022,$470.32,612
10/03/2022,$485.71,613
10/04/2022,$490.28,614
10/05/2022,$484.45,615
10/06/2022,$485.23,616
10/07/2022,$496.09,617
10/10/2022,$503.83,618
10/11/2022,$507.31,619
10/12/2022,$492.38,620
10/13/2022,$501.44,621
10/14/2022,$464.19,622
10/17/2022,$475.09,623
10/18/2022,$506.80,624
10/19/2022,$510.91,625
10/20/2022,$512.44,626
10/21/2022,$522.66,627
10/24/2022,$525.96,628
10/25/2022,$526.75,629
10/26/2022,$530.99,630
10/27/2022,$535.51,631
10/28/2022,$548.11,632
10/31/2022,$549.01,633
11/01/2022,$535.88,634
11/02/2022,$530.30,635
11/03/2022,$525.51,636
11/04/2022,$522.77,637
11/07/2022,$534.77,638
11/08/2022,$540.93,639
11/09/2022,$533.14,640
11/10/2022,$531.59,641
11/11/2022,$492.70,642
11/14/2022,$481.74,643
11/15/2022,$500.72,644
11/16/2022,$505.13,645
11/17/2022,$518.85,646
11/18/2022,$520.42,647
11/21/2022,$527.87,648
11/22/2022,$524.65,649
11/23/2022,$522.34,650
11/25/2022,$527.83,651
11/28/2022,$524.88,652
11/29/2022,$528.35,653
11/30/2022,$533.29,654
12/01/2022,$530.30,655
12/02/2022,$545.60,656
12/05/2022,$541.43,657
12/06/2022,$531.81,658
12/07/2022,$540.21,659
12/08/2022,$540.55,660
12/09/2022,$528.94,661
12/12/2022,$535.18,662
12/13/2022,$525.59,663
12/14/2022,$531.78,664
12/15/2022,$528.49,665
12/16/2022,$529.87,666
12/19/2022,$532.52,667
12/20/2022,$529.57,668
12/21/2022,$538.79,669
12/22/2022,$531.37,670
12/23/2022,$534.77,671
12/27/2022,$541.19,672
12/28/2022,$540.41,673
12/29/2022,$542.00,674
12/30/2022,$545.61,675
01/03/2023,$540.33,676
01/04/2023,$526.45,677
01/05/2023,$528.52,678
01/06/2023,$521.42,679
01/09/2023,$495.41,680
01/10/2023,$495.79,681
01/11/2023,$492.93,682
01/12/2023,$487.98,683
01/13/2023,$461.43,684
01/17/2023,$455.57,685
01/18/2023,$446.06,686
01/19/2023,$442.31,687
01/20/2023,$450.76,688
01/23/2023,$450.87,689
01/24/2023,$459.31,690
01/25/2023,$463.29,691
01/26/2023,$443.47,692
01/27/2023,$437.65,693
01/30/2023,$439.28,694
01/31/2023,$448.04,695
02/01/2023,$442.59,696
02/02/2023,$440.86,697
02/03/2023,$440.64,698
02/06/2023,$448.96,699
02/07/2023,$452.15,700
02/08/2023,$456.06,701
02/09/2023,$453.85,702
02/10/2023,$463.86,703
02/13/2023,$464.28,704
02/14/2023,$467.51,705
02/15/2023,$460.94,706
02/16/2023,$465.35,707
02/17/2023,$470.63,708
02/21/2023,$473.95,709
02/22/2023,$478.73,710
02/23/2023,$476.26,711
02/24/2023,$470.91,712
02/27/2023,$470.07,713
02/28/2023,$464.11,714
03/01/2023,$462.55,715
03/02/2023,$468.27,716
03/03/2023,$467.38,717
03/06/2023,$470.22,718
03/07/2023,$472.20,719
03/08/2023,$465.25,720
03/09/2023,$459.04,721
03/10/2023,$459.78,722
03/13/2023,$457.74,723
03/14/2023,$453.66,724
03/15/2023,$448.90,725
03/16/2023,$450.15,726
03/17/2023,$443.60,727
03/20/2023,$449.26,728
03/21/2023,$449.98,729
03/22/2023,$443.60,730
03/23/2023,$444.44,731
03/24/2023,$455.25,732
03/27/2023,$458.25,733
03/28/2023,$459.00,734
03/29/2023,$461.57,735
03/30/2023,$460.98,736
03/31/2023,$461.72,737
04/03/2023,$469.19,738
04/04/2023,$468.10,739
04/05/2023,$470.91,740
04/06/2023,$470.39,741
04/10/2023,$476.54,742
04/11/2023,$468.27,743
04/12/2023,$472.77,744
04/13/2023,$474.16,745
04/14/2023,$472.57,746
04/17/2023,$474.79,747
04/18/2023,$479.47,748
04/19/2023,$477.07,749
04/20/2023,$474.18,750
04/21/2023,$471.99,751
04/24/2023,$470.92,752
04/25/2023,$465.47,753
04/26/2023,$449.09,754
04/27/2023,$457.68,755
04/28/2023,$461.27,756
05/01/2023,$462.72,757
05/02/2023,$448.81,758
05/03/2023,$443.71,759
05/04/2023,$442.23,760
05/05/2023,$446.81,761
05/08/2023,$442.24,762
05/09/2023,$442.31,763
05/10/2023,$443.03,764
05/11/2023,$435.85,765
05/12/2023,$438.76,766
05/15/2023,$439.37,767
05/16/2023,$435.63,768
05/17/2023,$447.34,769
05/18/2023,$443.60,770
05/19/2023,$443.31,771
05/22/2023,$443.07,772
05/23/2023,$443.03,773
05/24/2023,$441.44,774
05/25/2023,$433.51,775
05/26/2023,$438.32,776
05/30/2023,$438.16,777
05/31/2023,$435.49,778
06/01/2023,$438.51,779
06/02/2023,$443.83,780
06/05/2023,$445.55,781
06/06/2023,$448.10,782
06/07/2023,$453.35,783
06/08/2023,$455.47,784
06/09/2023,$454.26,785
06/12/2023,$453.51,786
06/13/2023,$451.15,787
06/14/2023,$447.90,788
06/15/2023,$452.87,789
06/16/2023,$458.35,790
06/20/2023,$454.34,791
06/21/2023,$462.47,792
06/22/2023,$458.06,793
06/23/2023,$454.05,794
06/26/2023,$448.02,795
06/27/2023,$448.44,796
06/28/2023,$442.66,797
06/29/2023,$451.22,798
06/30/2023,$455.80,799
07/03/2023,$458.16,800
07/05/2023,$459.05,801
07/06/2023,$455.98,802
07/07/2023,$452.45,803
07/10/2023,$452.59,804
07/11/2023,$460.75,805
07/12/2023,$453.35,806
07/13/2023,$457.03,807
07/14/2023,$450.64,808
07/17/2023,$454.24,809
07/18/2023,$442.68,810
07/19/2023,$442.28,811
07/20/2023,$454.36,812
07/21/2023,$453.42,813
07/24/2023,$452.21,814
07/25/2023,$457.19,815
07/26/2023,$457.16,816
07/27/2023,$445.31,817
07/28/2023,$449.68,818
07/31/2023,$445.00,819
08/01/2023,$448.15,820
08/02/2023,$447.47,821
08/03/2023,$442.61,822
08/04/2023,$438.54,823
08/07/2023,$436.66,824
08/08/2023,$432.90,825
08/09/2023,$435.55,826
08/10/2023,$430.27,827
08/11/2023,$431.05,828
08/14/2023,$429.45,829
08/15/2023,$423.17,830
08/16/2023,$427.29,831
08/17/2023,$429.17,832
08/18/2023,$430.17,833
08/21/2023,$433.69,834
08/22/2023,$437.73,835
08/23/2023,$434.52,836
08/24/2023,$432.18,837
08/25/2023,$429.56,838
08/28/2023,$431.15,839
08/29/2023,$430.06,840
08/30/2023,$434.80,841
08/31/2023,$433.09,842
09/01/2023,$435.62,843
09/05/2023,$431.08,844
09/06/2023,$423.64,845
09/07/2023,$430.99,846
09/08/2023,$422.72,847
09/11/2023,$425.00,848
09/12/2023,$424.08,849
09/13/2023,$426.31,850
09/14/2023,$432.32,851
09/15/2023,$433.49,852
09/18/2023,$440.52,853
09/19/2023,$435.97,854
09/20/2023,$440.18,855
09/21/2023,$437.11,856
09/22/2023,$424.90,857
09/25/2023,$425.57,858
09/26/2023,$426.58,859
09/27/2023,$437.24,860
09/28/2023,$439.50,861
09/29/2023,$440.19,862
10/02/2023,$442.22,863
10/03/2023,$434.31,864
10/04/2023,$422.29,865
10/05/2023,$420.07,866
10/06/2023,$423.24,867
10/09/2023,$471.61,868
10/10/2023,$465.12,869
10/11/2023,$473.37,870
10/12/2023,$477.31,871
10/13/2023,$490.15,872
10/16/2023,$489.07,873
10/17/2023,$489.00,874
10/18/2023,$490.76,875
10/19/2023,$489.94,876
10/20/2023,$485.70,877
10/23/2023,$480.60,878
10/24/2023,$478.44,879
10/25/2023,$483.26,880
10/26/2023,$477.78,881
10/27/2023,$473.07,882
10/30/2023,$468.68,883
10/31/2023,$471.43,884
11/01/2023,$468.26,885
11/02/2023,$475.77,886
11/03/2023,$470.58,887
11/06/2023,$471.00,888
11/07/2023,$467.70,889
11/08/2023,$460.48,890
11/09/2023,$461.09,891
11/10/2023,$463.27,892
11/13/2023,$464.38,893
11/14/2023,$466.83,894
11/15/2023,$464.99,895
11/16/2023,$463.88,896
11/17/2023,$464.17,897
11/20/2023,$465.82,898
11/21/2023,$471.07,899
11/22/2023,$471.45,900
11/24/2023,$471.52,901
11/27/2023,$468.39,902
11/28/2023,$470.08,903
11/29/2023,$467.41,904
11/30/2023,$475.16,905
12/01/2023,$479.84,906
12/04/2023,$480.33,907
12/05/2023,$476.61,908
12/06/2023,$480.29,909
12/07/2023,$477.48,910
12/08/2023,$476.25,911
12/11/2023,$478.76,912
12/12/2023,$479.25,913
12/13/2023,$485.01,914
12/14/2023,$463.66,915
12/15/2023,$461.05,916
12/18/2023,$465.42,917
12/19/2023,$464.16,918
12/20/2023,$457.16,919
12/21/2023,$459.22,920
12/22/2023,$463.13,921
12/26/2023,$464.50,922
12/27/2023,$464.22,923
12/28/2023,$465.68,924
12/29/2023,$468.14,925
01/02/2024,$470.09,926
01/03/2024,$474.88,927
01/04/2024,$471.73,928
01/05/2024,$469.89,929
01/08/2024,$475.26,930
01/09/2024,$472.23,931
01/10/2024,$471.95,932
01/11/2024,$467.34,933
01/12/2024,$481.08,934
01/16/2024,$477.90,935
01/17/2024,$473.88,936
01/18/2024,$474.63,937
01/19/2024,$470.48,938
01/22/2024,$466.62,939
01/23/2024,$467.92,940
01/24/2024,$463.92,941
01/25/2024,$434.55,942
01/26/2024,$437.96,943
01/29/2024,$438.31,944
01/30/2024,$443.50,945
01/31/2024,$446.76,946
02/01/2024,$446.22,947
02/02/2024,$446.58,948
02/05/2024,$442.28,949
02/06/2024,$448.17,950
02/07/2024,$453.90,951
02/08/2024,$451.22,952
02/09/2024,$454.92,953
02/12/2024,$451.47,954
02/13/2024,$446.17,955
02/14/2024,$446.37,956
02/15/2024,$450.00,957
02/16/2024,$450.96,958
02/20/2024,$453.91,959
02/21/2024,$460.00,960
02/22/2024,$457.05,961
02/23/2024,$461.10,962
02/26/2024,$459.34,963
02/27/2024,$458.36,964
02/28/2024,$458.95,965
02/29/2024,$461.02,966
03/01/2024,$454.90,967
03/04/2024,$460.08,968
03/05/2024,$458.26,969
03/06/2024,$461.07,970
03/07/2024,$456.40,971
03/08/2024,$459.50,972
03/11/2024,$459.25,973
03/12/2024,$458.84,974
03/13/2024,$458.23,975
03/14/2024,$460.86,976
03/15/2024,$461.75,977
03/18/2024,$462.39,978
03/19/2024,$467.48,979
03/20/2024,$470.75,980
03/21/2024,$467.49,981
03/22/2024,$468.75,982
03/25/2024,$469.32,983
03/26/2024,$469.91,984
03/27/2024,$477.36,985
03/28/2024,$478.66,986
04/01/2024,$471.35,987
04/02/2024,$466.36,988
04/03/2024,$457.01,989
04/04/2024,$459.48,990
04/05/2024,$454.50,991
04/08/2024,$456.36,992
04/09/2024,$454.66,993
04/10/2024,$457.91,994
04/11/2024,$457.83,995
04/12/2024,$456.11,996
04/15/2024,$451.29,997
04/16/2024,$450.35,998
04/17/2024,$452.05,999
04/18/2024,$452.50,1000
04/19/2024,$462.58,1001
04/22/2024,$470.98,1002
04/23/2024,$474.68,1003
04/24/2024,$474.57,1004
04/25/2024,$488.06,1005
04/26/2024,$480.45,1006
04/29/2024,$486.22,1007
04/30/2024,$485.03,1008
05/01/2024,$486.37,1009
05/02/2024,$475.00,1010
05/03/2024,$469.09,1011
05/06/2024,$468.86,1012
05/07/2024,$473.75,1013
05/08/2024,$471.61,1014
05/09/2024,$473.43,1015
05/10/2024,$474.80,1016
05/13/2024,$476.65,1017
05/14/2024,$474.07,1018
05/15/2024,$469.65,1019
05/16/2024,$470.69,1020
05/17/2024,$470.22,1021
05/20/2024,$468.94,1022
05/21/2024,$471.90,1023
05/22/2024,$474.69,1024
05/23/2024,$467.21,1025
05/24/2024,$466.43,1026
05/28/2024,$455.50,1027
05/29/2024,$446.39,1028
05/30/2024,$446.52,1029
05/31/2024,$450.77,1030
06/03/2024,$449.33,1031
06/04/2024,$448.39,1032
06/05/2024,$442.37,1033
06/06/2024,$444.78,1034
06/07/2024,$440.04,1035
06/10/2024,$435.77,1036
06/11/2024,$429.82,1037
06/12/2024,$427.15,1038
06/13/2024,$423.42,1039
06/14/2024,$424.09,1040
06/17/2024,$429.78,1041
06/18/2024,$425.83,1042
06/20/2024,$434.48,1043
06/21/2024,$432.09,1044
06/24/2024,$430.67,1045
06/25/2024,$428.48,1046
06/26/2024,$431.49,1047
06/27/2024,$434.91,1048
06/28/2024,$435.95,1049
07/01/2024,$435.00,1050
07/02/2024,$437.37,1051
07/03/2024,$437.09,1052
07/05/2024,$434.73,1053
07/08/2024,$430.25,1054
07/09/2024,$423.73,1055
07/10/2024,$426.24,1056
07/11/2024,$432.02,1057
07/12/2024,$432.24,1058
07/15/2024,$431.92,1059
07/16/2024,$435.16,1060
07/17/2024,$440.17,1061
07/18/2024,$439.61,1062
07/19/2024,$437.94,1063
07/22/2024,$438.10,1064
07/23/2024,$442.30,1065
07/24/2024,$442.12,1066
07/25/2024,$470.57,1067
07/26/2024,$480.30,1068
07/29/2024,$477.29,1069
07/30/2024,$486.73,1070
07/31/2024,$484.32,1071
08/01/2024,$493.36,1072
08/02/2024,$494.55,1073
08/05/2024,$492.63,1074
08/06/2024,$486.53,1075
08/07/2024,$489.75,1076
08/08/2024,$491.32,1077
08/09/2024,$494.34,1078
08/12/2024,$501.66,1079
08/13/2024,$502.38,1080
08/14/2024,$505.00,1081
08/15/2024,$503.70,1082
08/16/2024,$506.66,1083
08/19/2024,$504.87,1084
08/20/2024,$508.04,1085
08/21/2024,$506.86,1086
08/22/2024,$509.63,1087
08/23/2024,$509.34,1088
08/26/2024,$512.00,1089
08/27/2024,$512.44,1090
08/28/2024,$513.56,1091
08/29/2024,$519.35,1092
08/30/2024,$523.21,1093
09/03/2024,$522.69,1094
09/04/2024,$523.68,1095
09/05/2024,$519.39,1096
09/06/2024,$515.00,1097
09/09/2024,$524.21,1098
09/10/2024,$519.97,1099
09/11/2024,$515.93,1100
09/12/2024,$518.54,1101
09/13/2024,$519.78,1102
09/16/2024,$521.27,1103
09/17/2024,$520.75,1104
09/18/2024,$521.63,1105
09/19/2024,$522.26,1106
09/20/2024,$525.13,1107
09/23/2024,$533.14,1108
09/24/2024,$529.86,1109
09/25/2024,$528.11,1110
09/26/2024,$524.31,1111
09/27/2024,$526.79,1112
09/30/2024,$528.07,1113
10/01/2024,$543.88,1114
10/02/2024,$538.87,1115
10/03/2024,$537.58,1116
10/04/2024,$536.74,1117
10/07/2024,$533.97,1118
10/08/2024,$532.65,1119
10/09/2024,$532.23,1120
10/10/2024,$527.09,1121
10/11/2024,$528.70,1122
10/14/2024,$534.07,1123
